CP-Line #,Source,SubClass, Name,"Synonym, common name, synthetic identifier",IUPAC (reference standard),IUPAC  (Omic),InChiKey  (reference standard),InChiKey (Omic),Monoisotopic Mass g/mol,Molecular Formula (reference standard),Molecular Formula (Omic),Formula wt (g/mol),Molecular Weight,CAS (reference standard),CAS (Omic),"Commercial, Synthetic, or Putative",HMDB (reference standard),HMDB (Omic),PUBCHEM (reference standard),PUBCHEM (omic),CORE Packet (CP)
124,Fed,flavone,isovitexin,Homovitexin; Saponaretin,"5,7-dihydroxy-2-(4-hydroxyphenyl)-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one","5,7-dihydroxy-2-(4-hydroxyphenyl)-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one",MYXNWGACZJSMBT-VJXVFPJBSA-N,MYXNWGACZJSMBT-VJXVFPJBSA-N,432.105647,C21H20O10,C21H20O10,432.4,432.4,29702-25-8; 38953-85-4,29702-25-8; 38953-85-4,Commercial,N/A,N/A,162350,162350,CP03
163,Metabolite,epicatechin metabolites,3-O-Methyl-(-)-epicatechin-7-O-glucuronide,3'-O-Methyl-(-)-Epicatechin 7-O-Glucuronide,"(2S,3S,4S,5R,6S)-6-[[(2R,3R)-3,5-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-3,4-dihydro-2H-chromen-7-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-6-[[(2R,3R)-3,5-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-3,4-dihydro-2H-chromen-7-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",MZJSKSYVZZIYPF-ZRRVXMDUSA-N,MZJSKSYVZZIYPF-ZRRVXMDUSA-N,480.126776,C22H24O12,C22H24O12,480.4,480.4,603133-94-4,603133-94-4,Commercial,HMDB0041659,HMDB0041659,101190386  ,101190386  ,CP03
219,Metabolite,benzoic acid metabolites,benzoic acid-3-sulphate,3-Hydroxybenzoic acid-3-O-sulphate,3-sulfooxybenzoic acid,3-sulfooxybenzoic acid,MZYPOJMKJHCOQG-UHFFFAOYSA-N,MZYPOJMKJHCOQG-UHFFFAOYSA-N,217.988508614,C7H6O6S,C7H6O6S,218.184,218.184,No CAS,No CAS,Commercial,HMDB0059968,HMDB0059968,21126437,21126437,CP03
23,metabolite,anthocyanin,cyanidin-3-glucuronide,cyanidin  O-glucuronide; cyanidin-3-O-glucuronide,"(2S,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromenylium-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid;chloride","(2S,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromenylium-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",ZVTDPGYQESCLRY-ZKWAOETCSA-N,N/A,463.0871025,C21H19ClO12,C21H19O12+,498.821,463.369187,683208-13-1,775284-61-2,Commercial,NA,NA,71315020,NA,CP1
73,Taxifolin Metabolite,Taxifolin Metabolite; annotation,taxifolin sulphate (9-isomers; annotations),N/A,N/A,N/A,N/A,N/A,384.015117,C15H12O10S,C15H12O10S,384.31478,384.31478,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
74,Taxifolin Metabolite,Taxifolin Metabolite; annotation,taxifolin disulphate  (4-isomers: annotations),N/A,N/A,N/A,N/A,N/A,463.97193,C15H12O13S2,C15H12O13S2,464.37798,464.37798,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
75,Taxifolin Metabolite,Taxifolin Metabolite; annotation,taxifolin glucuronide   (9-isomers; annotations),N/A,N/A,N/A,N/A,N/A,480.090391,C21H20O13,C21H20O13,480.3757,480.3757,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
76,Taxifolin Metabolite,Taxifolin Metabolite; annotation,taxifolin glucuronide sulphate (- isomers; annotations),N/A,N/A,N/A,N/A,N/A,560.047205,C21H20O16S,C21H20O16S,560.4389,560.4389,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
79,Taxifolin Metabolite,Taxifolin Metabolite; annotation,7-O-Methyltaxifolin,N/A,N/A,N/A,N/A,N/A,318.073953,C16H14O7,C16H14O7,318.27816,318.27816,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
80,Taxifolin Metabolite,Taxifolin Metabolite; annotation,Methyl taxifolin sulphate (10-isomers; annotations,N/A,N/A,N/A,N/A,N/A,398.030767,C16H14O10S,C16H14O10S,398.34136,398.34136,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
81,Taxifolin Metabolite,Taxifolin Metabolite; annotation,Methyl taxifolin glucuronide (9-isomers; annotations),N/A,N/A,N/A,N/A,N/A,494.106041,C22H22O13,C22H22O13,494.40228,494.40228,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
82,Taxifolin Metabolite,Taxifolin Metabolite; annotation,Methyl taxifolin glucuronide sulphate (2-isomers; annotations),N/A,N/A,N/A,N/A,N/A,574.062855,C22H22O16S,C22H22O16S,574.46548,574.46548,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
87,Diethylstibesterol Metabolites,Diethylstibesterol Metabolites; annotation,methoxy-diethylstibesterol ,N/A,N/A,N/A,N/A,N/A,282.16198,C19H22O2,C19H22O2,282.37678,282.37678,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
88,Diethylstibesterol Metabolites,Diethylstibesterol Metabolites; annotation,dimethoxy-diethylstibesterol,N/A,N/A,N/A,N/A,N/A,296.17763,C20H24O2,C20H24O2,296.40336,296.40336,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
89,Diethylstibesterol Metabolites,Diethylstibesterol Metabolites; annotation,methoxy-diethylstibesterol-glucuronide,N/A,N/A,N/A,N/A,N/A,458.194068,C25H30O8,C25H30O8,458.5009,458.5009,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
90,Diethylstibesterol Metabolites,Diethylstibesterol Metabolites; annotation,methoxy-diethylstibesterol-sulfate,N/A,N/A,N/A,N/A,N/A,362.118794,C19H22O5S,C19H22O5S,362.43998,362.43998,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
91,Diethylstibesterol Metabolites,Diethylstibesterol Metabolites; annotation,Diethylstibesterol-glucuronide,N/A,N/A,N/A,N/A,N/A,444.178418,C24H28O8,C24H28O8,444.47432,444.47432,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
92,Diethylstibesterol Metabolites,Diethylstibesterol Metabolites; annotation,Diethylstibesterol-diglucuronide,N/A,N/A,N/A,N/A,N/A,620.210506,C30H36O14,C30H36O14,620.59844,620.59844,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
93,Diethylstibesterol Metabolites,Diethylstibesterol Metabolites; annotation,Diethylstibesterol-sulfate,N/A,N/A,N/A,N/A,N/A,348.103144,C18H20O5S,C18H20O5S,348.4134,348.4134,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
94,Diethylstibesterol Metabolites,Diethylstibesterol Metabolites; annotation,Diethylstibesterol-disulfate,N/A,N/A,N/A,N/A,N/A,428.059958,C18H20O8S2,C18H20O8S2,428.4766,428.4766,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
95,Diethylstibesterol Metabolites,Diethylstibesterol Metabolites; annotation,Diethylstibesterol-glucuronide-sulfate,N/A,N/A,N/A,N/A,N/A,524.135232,C24H28O11S,C24H28O11S,524.53752,524.53752,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
96,Trihydroxycoumestan Metabolite,"7,10,12-Trihydroxycoumestan; annotation",methoxy-dihydroxycoumestan,"methoxy-7,10,12-trihydroxycoumestan",N/A,N/A,N/A,N/A,298.047738,C16H10O6,C16H10O6,298.247,298.247,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
97,Trihydroxycoumestan Metabolite,"7,10,12-Trihydroxycoumestan; annotation",dimethoxy-hydroxycoumestan,"dimethoxy-7,10,12-trihydroxycoumestan",N/A,N/A,N/A,N/A,312.063388,C17H12O6,C17H12O6,312.27358,312.27358,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
98,Trihydroxycoumestan Metabolite,"7,10,12-Trihydroxycoumestan; annotation",methoxy-hydroxycoumestan-glucuronide,"7,10,12-trihydroxycoumestan-methoxy-glucuronide",N/A,N/A,N/A,N/A,474.079826,C22H18O12,C22H18O12,474.37112,474.37112,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
99,Trihydroxycoumestan Metabolite,"7,10,12-Trihydroxycoumestan; annotation",methoxy-hydroxycoumestan-sulfate,"7,10,12-trihydroxycoumestan-methoxy-sulfate",N/A,N/A,N/A,N/A,378.004552,C16H10O9S,C16H10O9S,378.3102,378.3102,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
100,Trihydroxycoumestan Metabolite,"7,10,12-Trihydroxycoumestan; annotation",dihycroxycoumestan-glucuronide,"7,10,12-trihydroxycoumestan-glucuronide",N/A,N/A,N/A,N/A,460.064176,C21H16O12,C21H16O12,460.34454,460.34454,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
101,Trihydroxycoumestan Metabolite,"7,10,12-Trihydroxycoumestan; annotation",hydroxycoumestan-diglucuronide,"7,10,12-trihydroxycoumestan-diglucuronide",N/A,N/A,N/A,N/A,636.096264,C27H24O18,C27H24O18,636.46866,636.46866,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
102,Trihydroxycoumestan Metabolite,"7,10,12-Trihydroxycoumestan; annotation",dihycroxycoumestan-sulfate,"7,10,12-trihydroxycoumestan-sulfate",N/A,N/A,N/A,N/A,363.988902,C15H8O9S,C15H8O9S,364.28362,364.28362,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
103,Trihydroxycoumestan Metabolite,"7,10,12-Trihydroxycoumestan; annotation",hydroxycoumestan-disulfate,"7,10,12-trihydroxycoumestan-disulfate",N/A,N/A,N/A,N/A,443.945716,C15H8O12S2,C15H8O12S2,444.34682,444.34682,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
104,Trihydroxycoumestan Metabolite,"7,10,12-Trihydroxycoumestan; annotation",hydroxycoumestan-glucuronide-sulfate,"7,10,12-trihydroxycoumestan-glucuronide-sulfate",N/A,N/A,N/A,N/A,540.02099,C21H16O15S,C21H16O15S,540.40774,540.40774,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
105,Genistein Metabolite,Genistein Metabolite; annotation,Methoxy-dihydrogenistein,N/A,N/A,N/A,N/A,N/A,286.084124,C16H14O5,C16H14O5,286.27936,286.27936,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
106,Genistein Metabolite,Genistein Metabolite; annotation,dihydrogenistein-sulfate,N/A,N/A,N/A,N/A,N/A,352.025287,C15H12O8S,C15H12O8S,352.31598,352.31598,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
107,Genistein Metabolite,Genistein Metabolite; annotation,dihydrogenistein-glucuronide,N/A,N/A,N/A,N/A,N/A,448.100561,C21H20O11,C21H20O11,448.3769,448.3769,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
108,Genistein Metabolite,Daidzein Metabolite; annotation,Methoxy-dihydrodaidzein,N/A,N/A,N/A,N/A,N/A,270.089209,C16H14O4,C16H14O4,270.27996,270.27996,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
109,Genistein Metabolite,Daidzein Metabolite; annotation,dihydrodaidzein-sulfate,N/A,N/A,N/A,N/A,N/A,336.030373,C15H12O7S,C15H12O7S,336.31658,336.31658,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
110,Genistein Metabolite,Daidzein Metabolite; annotation,dihydrodaidzein-glucuronide,N/A,N/A,N/A,N/A,N/A,432.105647,C21H20O10,C21H20O10,432.3775,432.3775,No CAS,No CAS,Not Established,N/A,N/A,N/A,N/A,CP2
329,Metabolite,resveratrol metabolites,"cis-resveratrol-3,4-O-disulfate","cis-resveratrol-3,4-O-disulfate",n/a,n/a,n/a,n/a,387.9922734,n/a,n/a,388.4,388.4,No CAS,No CAS,Commercial,N/A,N/A,n/a,n/a,CP03
168,Metabolite,benzoic acid metabolites,5-hydroxybenzoic acid 3-sulfate,5-hydroxybenzoic acid 3-sulfate sodium salt ,N/A,N/A,N/A,N/A,233.983424 ,C7H4Na2O7S,C7H6O7S,287.15,234.19,NO CAS,NO CAS,data not pulled from DB,N/A,N/A,N/A,N/A,CP05
105,Metabolite,linarin metabolites,acacetin-7-sulfate,acacetin 7-sulfate,N/A,N/A,N/A,N/A,364.025287,C16H12O8S,C16H12O8S,364.33,364.33,NO CAS,NO CAS,data not pulled from DB,N/A,N/A,N/A,N/A,CP05
194,Metabolite,benzoic acid metabolites,benzoic acid-4-O-glucuronide,benzoic acid-4-O-glucuronide,"dipotassium;(2S,3S,4S,5R)-6-(4-carboxylatophenoxy)-3,4,5-trihydroxyoxane-2-carboxylate",N/A,KPDYLOSOAFVPRB-PNVNMENNSA-L,N/A,314.0638,C13H12K2O9,C13H14O9,390.42 ,314.24,1376574-47-8,NO CAS,data not pulled from DB,N/A,N/A,131699083,N/A,CP05
251,metabolite,cinnamic acid,cinnamic acid-4-sulfate disodium salt    ,p-Coumaric Acid 4-O-Sulfate Disodium Salt,disodium;(E)-3-(4-sulfonatooxyphenyl)prop-2-enoate,(E)-3-(4-sulfonatooxyphenyl)prop-2-enoate,ZBEAEMLBRSACIO-RRHCXGJISA-L,NA,244.0041592,C9H6Na2O6S,C9H8O6S,288.19,244.22,308338-96-7,NA,synthetic,N/A,N/A,71314998,NA,CP1
174,Metabolite,Avenanthramide metabolites,dihydroavenanthramide-B,NA,NA,NA,NA,NA,331.1056,C17H17NO6,C17H17NO6,331.32,331.11,NO CAS,NO CAS,data not pulled from DB,N/A,N/A,N/A,N/A,CP05
177,Metabolite,Avenanthramide metabolites,dihydroavenanthramide-C,NA,NA,NA,NA,NA,316.0821,C16H14NO6,C16H14NO6, 316.29,316.08,NO CAS,NO CAS,data not pulled from DB,N/A,N/A,N/A,N/A,CP05
137,Fed,butyl fructofuranoside,n-butyl-β-D-fructopyranoside,n-Butyl-fructopyranoside,"(2R)-2-butoxy-2-(hydroxymethyl)oxane-3,4,5-triol","(2R)-2-butoxy-2-(hydroxymethyl)oxane-3,4,5-triol",NAJPAGUETSZHOG-SYZWKDNESA-N ,NAJPAGUETSZHOG-SYZWKDNESA-N ,236.125988,C10H20O6,C10H20O6,236.26,236.26,67884-27-9,67884-27-9,Commercial,N/A,N/A,137795254,137795254,CP03
112,Metabolite,linarin metabolites,Acacetin-7-O-glucuronide methyl ester,Acacetin-7-O-glucuronide methyl ester,"methyl (2S,3S,4S,5R)-3,4,5-trihydroxy-6-[5-hydroxy-2-(4-methoxyphenyl)-4-oxochromen-7-yl]oxyoxane-2-carboxylate","methyl (2S,3S,4S,5R)-3,4,5-trihydroxy-6-[5-hydroxy-2-(4-methoxyphenyl)-4-oxochromen-7-yl]oxyoxane-2-carboxylate",NCDRCVIENURMRZ-XURRJDJLSA-N,NCDRCVIENURMRZ-XURRJDJLSA-N,474.116212,C23H22O11,C23H22O11,474.4,474.4,79076-87-2,79076-87-2,data not pulled from DB,N/A,N/A,5488681,5488681,CP05
272,metabolite,flavan-3-ol,4′-O-methyl(−)-epicatechin-7-sulfate,4'-Methylepicatechin-7-sulfate,"[(2R,3R)-3,5-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-3,4-dihydro-2H-chromen-7-yl] hydrogen sulfate","[(2R,3R)-3,5-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-3,4-dihydro-2H-chromen-7-yl] hydrogen sulfate",NCEYJABYRYYGNC-CZUORRHYSA-N,NCEYJABYRYYGNC-CZUORRHYSA-N,384.051503,C16H16O9S,C16H16O9S,384.3578,384.3578,No CAS,No CAS,Synthetic,HMDB0029184,HMDB0029184,71579292,71579292,CP1
225,Metabolite,benzoic acid metabolites,5-hydroxybenzoic acid 3-sulfate,"3,5-Dihydroxybenzoic Acid 3-O-Sulfate; 3,5-Dihydroxybenzoic Acid 3-O-Sulfate Sodium Salt",3-hydroxy-5-sulfooxybenzoic acid,3-hydroxy-5-sulfooxybenzoic acid,NDZHPENMJGDGPX-UHFFFAOYSA-N,NDZHPENMJGDGPX-UHFFFAOYSA-N,233.983424,C7H6O7S,C7H6O7S,234.19,234.19,No CAS,No CAS,Commercial,HMDB0240373,HMDB0240373,71316225,71316225,CP03
48,Diethylstibesterol Metabolite,Diethylstibesterol Metabolite,Isodienestrol,beta-Dienestrol,"4-[(2Z,4Z)-4-(4-hydroxyphenyl)hexa-2,4-dien-3-yl]phenol  ","4-[(2Z,4Z)-4-(4-hydroxyphenyl)hexa-2,4-dien-3-yl]phenol  ",NFDFQCUYFHCNBW-XBMAZEBWSA-N,NFDFQCUYFHCNBW-XBMAZEBWSA-N,266.13068,C18H18O2 ,C18H18O2 ,266.3,266.3,35495-11-5,35495-11-5,Not Established,N/A,N/A,5356512  ,5356512  ,CP2
143,metabolite,benzoic acid,3-hydroxybenzoic acid-4-sulfate,Protocatechuic acid-4-Sulfate; PCA-4-S (g2); 3-hydroxybenzoic acid-4-sulfate,3-hydroxy-4-sulfooxybenzoic acid,3-hydroxy-4-sulfooxybenzoic acid,NGQYUDIZIPNWJV-UHFFFAOYSA-N,NGQYUDIZIPNWJV-UHFFFAOYSA-N,233.983424,C7H6O7S,C7H6O7S,234.178,234.178,76496-12-3,76496-12-3,synthetic,HMDB0240382,HMDB0240382,195945,195945,CP1
245,metabolite,cinnamic acid,4-hydroxycinnamic acid,P-coumaric acid,(E)-3-(4-hydroxyphenyl)prop-2-enoic acid,(E)-3-(4-hydroxyphenyl)prop-2-enoic acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,NGSWKAQJJWESNS-ZZXKWVIFSA-N,164.0473441,C9H8O3,C9H8O3,164.16,164.16,7400-08-0,7400-08-0,commercial,HMDB0002035,HMDB0002035,637542,637542,CP1
52,Genistein Metabolite,Genistein Metabolite,Genistein 4-O-glucuronide,Genistein 4'-glucuronide,"(2S,3S,4S,5R,6S)-6-[4-(5,7-dihydroxy-4-oxochromen-3-yl)phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid  ","(2S,3S,4S,5R,6S)-6-[4-(5,7-dihydroxy-4-oxochromen-3-yl)phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid  ",NHEBJNCJBWUPCK-ZFORQUDYSA-N,NHEBJNCJBWUPCK-ZFORQUDYSA-N,446.08491,C21H18O11 ,C21H18O11 ,446.4,446.4,245084-07-5,245084-07-5,Not Established,HMDB0041737,HMDB0041737,45782816  ,45782816  ,CP2
195,Metabolite,apigenin metabolites,Apigenin-4-O-glucuronide,Apigenin 4'-glucuronide,"(3S,6S)-6-[4-(5,7-dihydroxy-4-oxochromen-2-yl)phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","(3S,6S)-6-[4-(5,7-dihydroxy-4-oxochromen-2-yl)phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",NKRGFKAFZUDVES-NHXMLZDGSA-N,NKRGFKAFZUDVES-NHXMLZDGSA-N,446.084911,C21H18O11,C21H18O11,446.4,446.4,No CAS,No CAS,Commercial,N/A,N/A,44257806,44257806,CP03
212,Metabolite,benzoic acid metabolites,3-Hydroxybenzoic acid-4-O-glucuronide,Protocatechuic acid-4-O-glucuronide,"6-(4-carboxy-2-hydroxyphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid","6-(4-carboxy-2-hydroxyphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",NLCBCVGRBFNEJE-UHFFFAOYSA-N,NLCBCVGRBFNEJE-UHFFFAOYSA-N,330.0586967,C13H14O10,C13H14O10,330.245,330.245,No CAS,No CAS,Commercial,HMDB0124990,HMDB0124990,131831543  ,131831543  ,CP03
354,fed/metabolite,phenol-decone,6-gingerol,N/A,(5S)-5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)decan-3-one,(5S)-5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)decan-3-one,NLDDIKRKFXEWBK-AWEZNQCLSA-N,NLDDIKRKFXEWBK-AWEZNQCLSA-N,294.1831093,C17H26O4,C17H26O4,294.39,294.39,"23513-14-6,  58253-27-3","23513-14-6,  58253-27-3",Commercial,HMDB0005783,HMDB0005783,442793 ,442793 ,CP1
15,Fed,Flavone,Acacetin-7-O-glucoside,tilianin,"5-hydroxy-2-(4-methoxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one","5-hydroxy-2-(4-methoxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",NLZCOTZRUWYPTP-MIUGBVLSSA-N,NLZCOTZRUWYPTP-MIUGBVLSSA-N,446.121297,C22H22O10,C22H22O10,446.4,446.4,4291-60-5,4291-60-5,data not pulled from DB,N/A,N/A,5321954,5321954,CP05
414,metabolite,phenylpropanoic acid,3-(4-hydroxyphenyl)propanoic acid   ,phloretic acid,3-(4-hydroxyphenyl)propanoic acid,3-(4-hydroxyphenyl)propanoic acid,NMHMNPHRMNGLLB-UHFFFAOYSA-N,NMHMNPHRMNGLLB-UHFFFAOYSA-N,166.0629942,C9H10O3,C9H10O3,166.17,166.17,501-97-3,501-97-3,commercial,HMDB0002199,HMDB0002199,10394,10394,CP1
291,Metabolite,valerolactone metabolites,"5-(4,5-dihydroxyphenyl)-gamma-valerolactone-O-sulfate","5-(4',5'-dihydroxyphenyl)-gamma-valerolactone-O-sulfate",Not Assigned,Not Assigned,Not Assigned,Not Assigned,288.03037,C11H12O7S,C11H12O7S,288.275,288.275,No CAS,No CAS,Commercial,N/A,N/A,n/a,n/a,CP03
280,Metabolite,taxifolin metabolite,Methyl taxifolin glucuronide sulphate (2-isomers; annotations),n/a,Not Assigned,Not Assigned,Not Assigned,Not Assigned,574.0629,C22H22O16S,C22H22O16S,574.062855,574.062855,No CAS,No CAS,Commercial,N/A,N/A,n/a,n/a,CP03
279,Metabolite,taxifolin metabolite,Methyl taxifolin glucuronide (9-isomers; annotations),n/a,Not Assigned,Not Assigned,Not Assigned,Not Assigned,494.1060,C22H22O13,C22H22O13,494.106041,494.106041,No CAS,No CAS,Commercial,N/A,N/A,n/a,n/a,CP03
278,Metabolite,taxifolin metabolite,Methyl taxifolin sulphate (10-isomers; annotations,n/a,Not Assigned,Not Assigned,Not Assigned,Not Assigned,398.0308,C16H14O10S,C16H14O10S,398.030767,398.030767,No CAS,No CAS,Commercial,N/A,N/A,n/a,n/a,CP03
274,Metabolite,taxifolin metabolite,taxifolin glucuronide sulphate (- isomers; annotations),n/a,Not Assigned,Not Assigned,Not Assigned,Not Assigned,560.0472,C21H20O16S,C21H20O16S,560.047205,560.047205,No CAS,No CAS,Commercial,N/A,N/A,NA,NA,CP03
273,Metabolite,taxifolin metabolite,taxifolin glucuronide   (9-isomers; annotations),n/a,Not Assigned,Not Assigned,Not Assigned,Not Assigned,480.0904,C21H20O13,C21H20O13,480.090391,480.090391,No CAS,No CAS,Commercial,N/A,N/A,NA,NA,CP03
272,Metabolite,taxifolin metabolite,taxifolin disulphate  (4-isomers: annotations),n/a,Not Assigned,Not Assigned,Not Assigned,Not Assigned,463.9719,C15H12O13S2,C15H12O13S2,463.97193,463.97193,No CAS,No CAS,Commercial,N/A,N/A,NA,NA,CP03
271,Metabolite,taxifolin metabolite,taxifolin sulphate (9-isomers; annotations),n/a,Not Assigned,Not Assigned,Not Assigned,Not Assigned,384.0151,C15H12O10S,C15H12O10S,384.015117,384.015117,No CAS,No CAS,Commercial,N/A,N/A,NA,NA,CP03
447,metabolite,valerolactone,5-(4’-hydroxyphenyl)-gamma –valerolactone-3’-sulfate ,"Valerolactone-(M6)-Sulfate; Val-M7-O-sulf; M6-Sulf; gVL4'S; 5'-(3',4'-Dihydroxyphenyl)-gamma-valerolactone sulfate; 5-(4'-hydroxyphenyl)-gamma-valerolactone-3-sulfate",Not Assigned 2020423,Not Assigned 2020423,Not Assigned 2020423,Not Assigned 2020423,288.0303734,C11H12O7S,C11H12O7S,288.2738,288.2738,NO CAS,NO CAS,Synthetic,HMDB0029191,HMDB0029191,NA,NA,CP1
135,Fed,alkaloid,N-trans-feruloyltyramine,Moupinamide,(E)-3-(4-hydroxy-3-methoxyphenyl)-N-[2-(4-hydroxyphenyl)ethyl]prop-2-enamide,(E)-3-(4-hydroxy-3-methoxyphenyl)-N-[2-(4-hydroxyphenyl)ethyl]prop-2-enamide,NPNNKDMSXVRADT-WEVVVXLNSA-N,NPNNKDMSXVRADT-WEVVVXLNSA-N,313.131408,C18H19NO4,C18H19NO4,313.3,313.3,66648-43-9,66648-43-9,Commercial,HMDB0029365,HMDB0029365,5280537,5280537,CP03
22,Diet/Food,lignan and lignin metabolite,arctigenin,(-)-Arctigenin,"(3R,4R)-4-[(3,4-dimethoxyphenyl)methyl]-3-[(4-hydroxy-3-methoxyphenyl)methyl]oxolan-2-one","(3R,4R)-4-[(3,4-dimethoxyphenyl)methyl]-3-[(4-hydroxy-3-methoxyphenyl)methyl]oxolan-2-one",NQWVSMVXKMHKTF-JKSUJKDBSA-N ,NQWVSMVXKMHKTF-JKSUJKDBSA-N ,372.157288 ,C21H24O6 ,C21H24O6 ,372.4,372.4,7770-78-7,7770-78-7,Not Established,HMDB0030087,HMDB0030087,64981,64981,CP2
392,metabolite,phenylacetic acid,4-methoxyphenylacetic acid,Homoanisic acid,2-(4-methoxyphenyl)acetic acid,2-(4-methoxyphenyl)acetic acid,NRPFNQUDKRYCNX-UHFFFAOYSA-N,NRPFNQUDKRYCNX-UHFFFAOYSA-N,166.0629942,C9H10O3,C9H10O3,166.176,166.176,104-01-8 ,104-01-8 ,commercial,HMDB0002072,HMDB0002072,7690,7690,CP1
329,metabolite,hippuric acid,4-methylhippuric acid   ,p-Toluric Acid,2-[(4-methylbenzoyl)amino]acetic acid,2-[(4-methylbenzoyl)amino]acetic acid,NRSCPTLHWVWLLH-UHFFFAOYSA-N,NRSCPTLHWVWLLH-UHFFFAOYSA-N,193.073893,C10H11NO3,C10H11NO3,193.202,193.202,27115-50-0,27115-50-0,commercial,HMDB0013292,HMDB0013292,97479,97479,CP1
211,Metabolite,luteolin metabolites,Luteolin-7-sulfate,Luteolin 7-sulfate,"[2-(3,4-dihydroxyphenyl)-5-hydroxy-4-oxochromen-7-yl] hydrogen sulfate","[2-(3,4-dihydroxyphenyl)-5-hydroxy-4-oxochromen-7-yl] hydrogen sulfate",NTLSJCCPWSJISD-UHFFFAOYSA-N,NTLSJCCPWSJISD-UHFFFAOYSA-N,366.004552608,C15H10O9S,C15H10O9S,366.3,366.3,56857-57-9,56857-57-9,Commercial,HMDB0038472,HMDB0038472,14016780  ,14016780  ,CP03
211,fed/metabolite,catecholamine,dopamine 3-sulfate,N/A,[5-(2-aminoethyl)-2-hydroxyphenyl] hydrogen sulfate,[5-(2-aminoethyl)-2-hydroxyphenyl] hydrogen sulfate,NZKRYJGNYPYXJZ-UHFFFAOYSA-N,NZKRYJGNYPYXJZ-UHFFFAOYSA-N,233.0357932,C8H11NO5S,C8H11NO5S,233.24,233.24,51317-41-0,51317-41-0,Commercial,HMDB0006275,HMDB0006275,122136,122136,CP1
